name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"bard-french-1","","","","0","","","","","","","","","","6","false","0.8055555555555555","0.6666666666666666","1.3333333333333333","madeleine","3.3333333333333335","2","","","5","6","2","4","0","0","1","10","","14","","0","1340","827","255","96","0"
"bard-french-10","","","","0","","","","","","","","","","5","false","1","1","1","several characters","4","1","","","4","5","2","3","0","0","1","10","","1","","0","1967","1447","528","118","0"
"bard-french-2","","","","0","","","","","","","","","","7","false","0.8095238095238094","0.7619047619047619","1.2380952380952381","clara","4.571428571428571","2","","","6","7","1","2","3","0","1","16","","9","","1","1011","873","168","88","0"
"bard-french-3","","","","0","","","","","","","","","","6","false","0.7999999999999999","0.6","1.4","claire|jean","3","2","","","5","6","2","4","0","0","1","9","","5","","5","1413","1322","72","105","0"
"bard-french-4","","","","0","","","","","","","","","","5","false","0.4333333333333334","0.5","1.5","madame-de-mauvesant","2","2","","","4","5","0","5","0","0","1","5","","17","","0","1697","862","513","93","0"
"bard-french-5","","","","0","","","","","","","","","","5","false","0.6","0.6","1.4","marie","2.4","2","","","4","5","2","3","0","0","1","6","","12","","0","1692","1098","919","76","0"
"bard-french-6","","","","0","","","","","","","","","","7","false","0.8095238095238094","0.5238095238095238","1.4761904761904763","marquise|servante","3.142857142857143","2","","","6","7","3","4","0","0","1","11","","5","","5","1703","1440","273","140","0"
"bard-french-7","","","","0","","","","","","","","","","8","false","0.23333333333333334","0.32142857142857145","1.8928571428571428","duchesse-de-lorrain","2.25","3","","","5","8","1","6","1","1","1","9","","13","","5","1569","1080","510","84","0"
"bard-french-8","","","","0","","","","","","","","","","4","false","0","0.5","1.5","jules","1.5","2","","","3","4","3","1","0","0","1","3","","13","","4","1268","716","532","63","0"
"bard-french-9","","","","0","","","","","","","","","","5","false","0.8666666666666666","0.6","1.4","jeanne","2.4","2","","","4","5","3","2","0","0","1","6","","5","","5","1074","871","198","87","0"
"bard-german-1","","","","0","","","","","","","","","","6","false","0.8333333333333334","0.6666666666666666","1.3333333333333333","emil|anna","3.3333333333333335","2","","","5","6","2","4","0","0","1","10","","5","","0","1232","1010","297","121","0"
"bard-german-10","","","","0","","","","","","","","","","3","false","1","1","1","einfachmann|fräulein|karl","2","1","","","2","3","0","3","0","0","1","3","","5","","0","1046","582","486","100","0"
"bard-german-2","","","","0","","","","","","","","","","8","false","0.8464285714285714","0.7142857142857143","1.2857142857142858","einstein|reporter","5","2","","","7","8","1","7","0","0","1","20","","5","","0","1805","1510","372","121","0"
"bard-german-3","","","","0","","","","","","","","","","10","false","0.6921428571428572","0.4","1.6888888888888889","jüngerer-herzog","3.6","3","","","8","10","1","9","0","0","1","18","","15","","5","1738","1293","660","118","0"
"bard-german-4","","","","0","","","","","","","","","","11","false","0.7794372294372295","0.4727272727272727","1.5636363636363637","herzog","4.7272727272727275","3","","","9","11","2","5","0","0","1","26","","16","","0","2163","1828","305","202","0"
"bard-german-5","","","","0","","","","","","","","","","4","false","0.5833333333333333","0.6666666666666666","1.3333333333333333","emil","2","2","","","3","4","1","3","0","0","1","4","","8","","0","1474","1196","304","146","0"
"bard-german-6","","","","0","","","","","","","","","","3","false","0","0.3333333333333333","1","karl|franziska","0.6666666666666666","1","","","1","3","2","1","0","0","2","1","","13","","0","2395","1447","933","48","0"
"bard-german-7","","","","0","","","","","","","","","","10","false","0.8399999999999999","0.4666666666666667","1.5333333333333334","fräulein","4.2","2","","","9","10","2","8","0","0","1","21","","8","","0","1523","1118","444","97","0"
"bard-german-8","","","","0","","","","","","","","","","6","false","0.5499999999999999","0.5333333333333333","1.4666666666666666","graf","2.6666666666666665","2","","","5","6","0","5","0","0","1","8","","14","","0","1876","1265","649","115","0"
"bard-german-9","","","","0","","","","","","","","","","8","false","0.7821428571428571","0.6428571428571429","1.3571428571428572","kronprinz","4.5","2","","","7","8","1","7","0","0","1","18","","12","","0","1460","1179","436","114","0"
"bard-russian-1","","","","0","","","","","","","","","","7","false","0.9238095238095239","0.9047619047619048","1.0952380952380953","several characters","5.428571428571429","2","","","6","7","2","5","0","0","1","19","","5","","0","1084","823","415","106","0"
"bard-russian-10","","","","0","","","","","","","","","","7","false","0.8285714285714285","0.6666666666666666","1.3333333333333333","nykolaj","4","2","","","6","7","2","4","0","0","1","14","","5","","0","773","656","154","77","0"
"bard-russian-2","","","","0","","","","","","","","","","9","false","0.8671957671957673","0.6388888888888888","1.3611111111111112","horkykh|maryna","5.111111111111111","2","","","8","9","5","4","0","0","1","23","","5","","0","897","743","166","94","0"
"bard-russian-3","","","","0","","","","","","","","","","7","false","0.8428571428571429","0.6666666666666666","1.3333333333333333","horylov|maryna","4","2","","","6","7","1","6","0","0","1","14","","5","","0","1508","1220","289","167","0"
"bard-russian-4","","","","0","","","","","","","","","","8","false","0.8404761904761905","0.6428571428571429","1.3571428571428572","pryzrak_hlukhova","4.5","2","","","7","8","2","5","1","1","1","18","","5","","0","879","657","319","63","0"
"bard-russian-5","","","","0","","","","","","","","","","8","false","0.9119047619047619","0.8928571428571429","1.1071428571428572","several characters","6.25","2","","","7","8","3","5","0","0","1","25","","5","","0","1032","671","507","66","0"
"bard-russian-6","","","","0","","","","","","","","","","6","false","0.85","0.8","1.2","horych|maryna|natasha","4","2","","","5","6","2","4","0","0","1","12","","5","","0","1182","862","316","122","0"
"bard-russian-7","","","","0","","","","","","","","","","8","false","0.8380952380952381","0.7142857142857143","1.2857142857142858","sыn|doch","5","2","","","7","8","3","5","0","0","1","20","","4","","0","943","690","282","75","0"
"bard-russian-8","","","","0","","","","","","","","","","6","false","0.8388888888888889","0.7333333333333333","1.2666666666666666","hlubov|samsonov","3.6666666666666665","2","","","5","6","0","5","1","1","1","11","","5","","0","1075","904","171","104","0"
"bard-russian-9","","","","0","","","","","","","","","","5","false","0.9","0.9","1.1","khudozhnyk|sekretarsha|druh","3.6","2","","","4","5","1","4","0","0","1","9","","5","","0","1509","1194","355","130","0"
"gpt35-french-1","","","","0","GPT35-French-1","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.6904761904761905","0.5238095238095238","1.4761904761904763","madame-legrand","3.142857142857143","2","2023","2023","6","7","4","3","0","0","1","11","2023","22","","0","1778","1130","610","51","0"
"gpt35-french-10","","","","0","GPT35-French-10","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.9238095238095239","0.6190476190476191","1.380952380952381","la-marquise","3.7142857142857144","2","2023","2023","6","7","4","3","0","0","1","13","2023","5","","0","1754","1017","730","55","0"
"gpt35-french-2","","","","0","GPT35-French-2","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.9","0.8","1.2","madame-pierreval|monsieur-pierreval","4","2","2023","2023","5","6","2","4","0","0","1","12","2023","5","","0","1905","1326","571","48","0"
"gpt35-french-3","","","","0","GPT35-French-3","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.9","0.8666666666666667","1.1333333333333333","la-comtesse|le-comte|le-baron","4.333333333333333","2","2023","2023","5","6","2","4","0","0","1","13","2023","5","","0","1943","1441","620","39","0"
"gpt35-french-4","","","","0","GPT35-French-4","","","ENTER SOURCE URL HERE","","","","","2023","10","false","0.8286507936507936","0.4444444444444444","1.5555555555555556","eugenie-de-valmont","4","2","2023","2023","9","10","3","6","1","0","1","20","2023","11","","0","924","359","659","47","0"
"gpt35-french-5","","","","0","GPT35-French-5","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.4444444444444444","0.4666666666666667","1.6","madeleine|rose","2.3333333333333335","3","2023","2023","4","6","2","3","1","0","1","7","2023","13","","0","1800","1051","724","44","0"
"gpt35-french-6","","","","0","GPT35-French-6","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.611111111111111","0.4666666666666667","1.6666666666666667","le-capitaine","2.3333333333333335","3","2023","2023","4","6","2","4","0","0","1","7","2023","5","","0","1880","1126","780","22","0"
"gpt35-french-7","","","","0","GPT35-French-7","","","ENTER SOURCE URL HERE","","","","","2023","6","false","1","1","1","several characters","5","1","2023","2023","5","6","2","4","0","0","1","15","2023","5","","0","1704","1149","664","45","0"
"gpt35-french-8","","","","0","GPT35-French-8","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.8333333333333334","0.6666666666666666","1.3333333333333333","madame-de-sévigné|le-chevalier","3.3333333333333335","2","2023","2023","5","6","4","2","0","0","1","10","2023","5","","0","987","326","539","45","0"
"gpt35-french-9","","","","0","GPT35-French-9","","","ENTER SOURCE URL HERE","","","","","2023","9","false","0.8806878306878307","0.8055555555555556","1.1944444444444444","comtesse|dramaturge|diplomate","6.444444444444445","2","2023","2023","8","9","2","6","1","0","1","29","2023","5","","0","938","270","758","50","0"
"gpt35-german-1","","","","0","GPT35-German-1","","","ENTER SOURCE URL HERE","","","","","2023","8","false","0.9285714285714286","0.8928571428571429","1.1071428571428572","several characters","6.25","2","2023","2023","7","8","2","5","1","0","1","25","2023","5","","0","1682","1284","652","44","0"
"gpt35-german-10","","","","0","GPT35-German-10","","","ENTER SOURCE URL HERE","","","","","2023","9","false","0.8981481481481483","0.8611111111111112","1.1388888888888888","kuenstler|schneiderin|hauswirtin","6.888888888888889","2","2023","2023","8","9","3","6","0","0","1","31","2023","5","","0","1537","870","741","53","0"
"gpt35-german-2","","","","0","GPT35-German-2","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.8666666666666666","0.8","1.2","maria|arthur","3.2","2","2023","2023","4","5","2","3","0","0","1","8","2023","11","","0","1749","1153","536","52","0"
"gpt35-german-3","","","","0","GPT35-German-3","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.9","0.9","1.1","beatrix|dieter|elisabeth","3.6","2","2023","2023","4","5","2","3","0","0","1","9","2023","5","","0","1715","883","873","53","0"
"gpt35-german-4","","","","0","GPT35-German-4","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.9","0.8","1.2","prinz-ferdinand|louisa","4","2","2023","2023","5","6","2","4","0","0","1","12","2023","5","","0","1599","789","797","46","0"
"gpt35-german-5","","","","0","GPT35-German-5","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.6","0.6","1.4","karl","2.4","2","2023","2023","4","5","0","5","0","0","1","6","2023","5","","0","1559","1082","417","44","0"
"gpt35-german-6","","","","0","GPT35-German-6","","","ENTER SOURCE URL HERE","","","","","2023","8","false","0.9285714285714286","0.8928571428571429","1.1071428571428572","several characters","6.25","2","2023","2023","7","8","3","4","0","0","1","25","2023","5","","0","1204","770","470","62","0"
"gpt35-german-7","","","","0","GPT35-German-7","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.8666666666666666","0.8","1.2","dienerin|graefen","3.2","2","2023","2023","4","5","3","1","1","0","1","8","2023","5","","0","1546","975","784","29","0"
"gpt35-german-8","","","","0","GPT35-German-8","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.7","0.7","1.3","wolfgang-von-hartenstein","2.8","2","2023","2023","4","5","2","4","0","0","1","7","2023","7","","0","1357","959","158","37","0"
"gpt35-german-9","","","","0","GPT35-German-9","","","ENTER SOURCE URL HERE","","","","","2023","5","false","1","1","1","several characters","4","1","2023","2023","4","5","1","2","2","0","1","10","2023","1","","0","1885","1734","90","50","0"
"gpt35-russian-1","","","","0","GPT35-Russian-1","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.8055555555555555","0.6666666666666666","1.3333333333333333","andrej","3.3333333333333335","2","2023","2023","5","6","0","0","0","0","1","10","2023","5","","0","888","686","254","30","0"
"gpt35-russian-10","","","","0","Вихрь страданий (Whirlwind of Sorrows)","","","","","","","","","14","false","0.8310090702947844","0.3626373626373626","1.7692307692307692","pyotr","4.714285714285714","3","","","10","14","5","8","0","0","1","33","","6","","4","920","638","303","35","0"
"gpt35-russian-2","","","","0","Ведомый Судьбой (Driven by Fate)","","","","","","","","","8","false","0.7535714285714286","0.5714285714285714","1.4285714285714286","vera:","4","2","","","7","8","0","8","0","0","1","16","","4","","0","1004","770","375","34","0"
"gpt35-russian-3","","","","0","GPT35-Russian-3","","","","","","","","","9","false","0.8682539682539682","0.6944444444444444","1.3055555555555556","antonъ|marъjana","5.555555555555555","2","","","8","9","4","5","0","0","1","25","","5","","0","927","774","376","39","0"
"gpt35-russian-4","","","","0","GPT35-Russian-4","","","","","","","","","6","false","0.7000000000000001","0.4666666666666667","1.5333333333333334","rabotnyk","2.3333333333333335","2","","","5","6","2","4","0","0","1","7","","5","","0","1033","960","277","37","0"
"gpt35-russian-5","","","","0","GPT35-Russian-5","","","","","","","","","4","false","0","0.3333333333333333","1.3333333333333333","anna","1","2","","","2","4","1","3","0","0","2","2","","35","","0","883","680","221","37","0"
"gpt35-russian-6","","","","0","GPT35-Russian-6","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.3095238095238096","0.3333333333333333","1.9523809523809523","zverev","2","3","2023","2023","4","7","0","0","0","0","1","7","2023","11","","0","969","768","181","29","0"
"gpt35-russian-7","","","","0","GPT35-Russian-7","","","ENTER SOURCE URL HERE","","","","","2023","8","false","0.3375","0.35714285714285715","1.75","zana","2.5","3","2023","2023","6","8","0","0","0","0","1","10","2023","5","","0","1005","663","336","29","0"
"gpt35-russian-8","","","","0","GPT35-Russian-8","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.3333333333333333","0.19047619047619047","1.3333333333333333","sergei","1.1428571428571428","2","2023","2023","3","7","0","0","0","0","4","4","2023","24","","0","1020","588","386","22","0"
"gpt35-russian-9","","","","0","GPT35-Russian-9","","","ENTER SOURCE URL HERE","","","","","2023","11","false","0.892929292929293","0.3090909090909091","1.690909090909091","fedor","3.090909090909091","2","2023","2023","10","11","0","0","0","0","1","17","2023","5","","0","990","668","403","30","0"
